experiment,plate,row,col,protect,path,plant,protect_od,path_od,date_ster,date_germ,date_inoc,date_process,light_dn,light_lx,temp_dn,MS,MES,pH,notes
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,D,6,MOCK,MOCK,col0,0,0,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,E,6,MOCK,N2C3-L,col0,0,0.01,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,F,6,MOCK,N2C3-L,col0,0,0.0001,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,G,6,MOCK,N2C3-L,col0,0,1E-06,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,H,6,MOCK,MOCK,col0,0,0,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,A,7,CHAO,N2C3-L,col0,0.01,0.01,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,B,7,CHAO,N2C3-L,col0,0.01,0.0001,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,C,7,CHAO,N2C3-L,col0,0.01,1E-06,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,D,7,CHAO,MOCK,col0,0.01,0,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,E,7,WCS365,N2C3-L,col0,0.01,0.01,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,F,7,WCS365,N2C3-L,col0,0.01,0.0001,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,G,7,WCS365,N2C3-L,col0,0.01,1E-06,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,H,7,WCS365,MOCK,col0,0.01,0,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,A,8,CHAO,N2C3-L,col0,0.001,0.01,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,B,8,CHAO,N2C3-L,col0,0.001,0.0001,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,C,8,CHAO,N2C3-L,col0,0.001,1E-06,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,D,8,CHAO,MOCK,col0,0.001,0,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,E,8,WCS365,N2C3-L,col0,0.001,0.01,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
2023-06-27_ac_ccpwn,scan_WCS365_CHAO_PF5_CH267_Day5001_a,F,8,WCS365,N2C3-L,col0,0.001,0.0001,2023-06-19,2023-06-22,2023-06-27,2023-07-04,12_12,110,23_23,0.5,0.5,5.8,
