experiment,plate,row,col,protect,path,plant,protect_od,path_od,date_ster,date_germ,date_inoc,date_process,light_dn,light_lx,temp_dn,MS,MES,pH,notes
2023-05-30_ccppwn,CH267_CHA0_001_a,D,9,MOCK,PAO1,col0,0,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,E,9,CH267,MOCK,col0,0.01,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,F,9,CH267,MOCK,col0,0.01,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,G,9,CH267,MOCK,col0,0.01,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,H,9,MOCK,MOCK,col0,0,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,A,10,CH267,PAO1,col0,0.01,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,B,10,CH267,PAO1,col0,0.01,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,C,10,CH267,PAO1,col0,0.01,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,D,10,MOCK,PAO1,col0,0,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,E,10,CH267,MOCK,col0,0.01,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,F,10,CH267,MOCK,col0,0.01,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,G,10,CH267,MOCK,col0,0.01,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,H,10,MOCK,MOCK,col0,0,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,A,11,CH267,PAO1,col0,0.01,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,B,11,CH267,PAO1,col0,0.01,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,C,11,CH267,PAO1,col0,0.01,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,D,11,MOCK,PAO1,col0,0,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,E,11,CH267,MOCK,col0,0.01,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,F,11,CH267,MOCK,col0,0.01,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,G,11,CH267,MOCK,col0,0.01,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,H,11,MOCK,MOCK,col0,0,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,A,12,CH267,PAO1,col0,0.01,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,B,12,CH267,PAO1,col0,0.01,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,C,12,CH267,PAO1,col0,0.01,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,D,12,MOCK,PAO1,col0,0,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,E,12,CH267,MOCK,col0,0.01,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,F,12,CH267,MOCK,col0,0.01,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,G,12,CH267,MOCK,col0,0.01,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_a,H,12,MOCK,MOCK,col0,0,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_b,A,1,CHAO,MOCK,col0,0.01,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_b,B,1,CHAO,MOCK,col0,0.01,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_b,C,1,CHAO,MOCK,col0,0.01,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_b,D,1,MOCK,MOCK,col0,0,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_b,E,1,CHAO,N2C3,col0,0.01,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_b,F,1,CHAO,N2C3,col0,0.01,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_b,G,1,CHAO,N2C3,col0,0.01,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_b,H,1,MOCK,N2C3,col0,0,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_b,A,2,CHAO,MOCK,col0,0.01,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_b,B,2,CHAO,MOCK,col0,0.01,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_b,C,2,CHAO,MOCK,col0,0.01,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_b,D,2,MOCK,MOCK,col0,0,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_b,E,2,CHAO,N2C3,col0,0.01,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_b,F,2,CHAO,N2C3,col0,0.01,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_b,G,2,CHAO,N2C3,col0,0.01,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_b,H,2,MOCK,N2C3,col0,0,0.01,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_b,A,3,CHAO,MOCK,col0,0.01,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
2023-05-30_ccppwn,CH267_CHA0_001_b,B,3,CHAO,MOCK,col0,0.01,0,2023-05-23,2023-05-25,2023-05-30,2023-06-06,12_12,140,23_20,0.5,0.5,5.8,some germ in 16/8?
