plate,experiment,row,col,plant_quality,strain0,strain1,strain2,strain1_od,strain2_od,transfer_h,Type,plate_filled_with,date_ster,date_germ,date_inoc,date_process,plant,light_lx,temp_dn,MS,MES,pH
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,G,8,bad,NA,WCS365-_neon,N2C3-_crim,0.001,0.01,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,G,9,good,NA,WCS365-_neon,N2C3-_crim,0.001,0.01,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,G,10,bad,NA,WCS365-_neon,N2C3-_crim,0.001,0.01,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,G,11,good,NA,WCS365-_neon,N2C3-_crim,0.001,0.01,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,G,12,bad,NA,WCS365-_neon,N2C3-_crim,0.001,0.01,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,H,1,good,NA,WCS365-_neon,MOCK,0.001,0,6,Priority,MOCK,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,H,2,bad,NA,WCS365-_neon,MOCK,0.001,0,6,Priority,MOCK,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,H,3,bad,NA,WCS365-_neon,MOCK,0.001,0,6,Priority,MOCK,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,H,4,bad,NA,WCS365-_neon,MOCK,0.001,0,6,Priority,MOCK,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,H,5,bad,NA,WCS365-_neon,MOCK,0.001,0,6,Priority,MOCK,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,H,6,bad,NA,WCS365-_neon,MOCK,0.001,0,6,Priority,MOCK,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,H,7,good,NA,WCS365-_neon,N2C3-_crim,0.001,0.03,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,H,8,bad,NA,WCS365-_neon,N2C3-_crim,0.001,0.03,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,H,9,good,NA,WCS365-_neon,N2C3-_crim,0.001,0.03,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,H,10,bad,NA,WCS365-_neon,N2C3-_crim,0.001,0.03,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,H,11,good,NA,WCS365-_neon,N2C3-_crim,0.001,0.03,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,H,12,bad,NA,WCS365-_neon,N2C3-_crim,0.001,0.03,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,A,1,good,NA,WCS365-_neon,N2C3-_crim,0.001,0.0001,6,Priority,N2C3-_crim,2024-03-13,2024-03-15,2024-03-20,2024-03-27,col0,110,23_23,0.5,0.5,5.8
