plate_alias,row,col,Neon-raw,Crim-raw
N2C3crim_WCS365neon_halfLacZ,A,5,17982,166018
N2C3crim_WCS365neon_halfLacZ,B,5,35002,276050
N2C3crim_WCS365neon_halfLacZ,C,5,15974,3370
N2C3crim_WCS365neon_halfLacZ,D,5,17790,4149
N2C3crim_WCS365neon_halfLacZ,E,5,30792,349379
N2C3crim_WCS365neon_halfLacZ,F,5,33572,260474
N2C3crim_WCS365neon_halfLacZ,G,5,18904,1816
N2C3crim_WCS365neon_halfLacZ,H,5,15298,3633
N2C3crim_WCS365neon_halfLacZ,A,6,20892,116693
N2C3crim_WCS365neon_halfLacZ,B,6,30417,290288
N2C3crim_WCS365neon_halfLacZ,C,6,17715,3111
N2C3crim_WCS365neon_halfLacZ,D,6,16744,3889
N2C3crim_WCS365neon_halfLacZ,E,6,25152,291019
N2C3crim_WCS365neon_halfLacZ,F,6,79114,974727
N2C3crim_WCS365neon_halfLacZ,G,6,19533,2594
N2C3crim_WCS365neon_halfLacZ,H,6,13699,2076
N2C3crim_WCS365neon_halfLacZ,A,7,194730,43999
N2C3crim_WCS365neon_halfLacZ,B,7,299974,19695
N2C3crim_WCS365neon_halfLacZ,C,7,1246861,3111
N2C3crim_WCS365neon_halfLacZ,D,7,623800,6482
N2C3crim_WCS365neon_halfLacZ,E,7,800797,47723
N2C3crim_WCS365neon_halfLacZ,F,7,301366,38132
N2C3crim_WCS365neon_halfLacZ,G,7,622477,3633
N2C3crim_WCS365neon_halfLacZ,H,7,396064,2854
N2C3crim_WCS365neon_halfLacZ,A,8,249965,67575
N2C3crim_WCS365neon_halfLacZ,B,8,468306,32131
N2C3crim_WCS365neon_halfLacZ,C,8,822968,4926
N2C3crim_WCS365neon_halfLacZ,D,8,702271,2593
N2C3crim_WCS365neon_halfLacZ,E,8,283826,75483
N2C3crim_WCS365neon_halfLacZ,F,8,491921,40467
N2C3crim_WCS365neon_halfLacZ,G,8,764579,4930
N2C3crim_WCS365neon_halfLacZ,H,8,527294,3633
N2C3crim_WCS365neon_halfLacZ,A,9,264322,68885
N2C3crim_WCS365neon_halfLacZ,B,9,757817,40158
N2C3crim_WCS365neon_halfLacZ,C,9,740226,5445
N2C3crim_WCS365neon_halfLacZ,D,9,717105,4407
N2C3crim_WCS365neon_halfLacZ,E,9,266119,86643
N2C3crim_WCS365neon_halfLacZ,F,9,1205718,75998
N2C3crim_WCS365neon_halfLacZ,G,9,791712,2335
N2C3crim_WCS365neon_halfLacZ,H,9,611707,3113
N2C3crim_WCS365neon_halfLacZ,A,10,22420,523276
N2C3crim_WCS365neon_halfLacZ,B,10,25060,162719
N2C3crim_WCS365neon_halfLacZ,C,10,15838,7778
N2C3crim_WCS365neon_halfLacZ,D,10,17372,1037
N2C3crim_WCS365neon_halfLacZ,E,10,30928,252160
N2C3crim_WCS365neon_halfLacZ,F,10,27250,314928
N2C3crim_WCS365neon_halfLacZ,G,10,17033,3373
N2C3crim_WCS365neon_halfLacZ,H,10,13897,2854
N2C3crim_WCS365neon_halfLacZ,A,11,27775,713622
N2C3crim_WCS365neon_halfLacZ,B,11,23884,196066
N2C3crim_WCS365neon_halfLacZ,C,11,13546,2334
N2C3crim_WCS365neon_halfLacZ,D,11,13905,1555
N2C3crim_WCS365neon_halfLacZ,E,11,27183,249842
N2C3crim_WCS365neon_halfLacZ,F,11,27597,432546
N2C3crim_WCS365neon_halfLacZ,G,11,14320,2335
N2C3crim_WCS365neon_halfLacZ,H,11,10639,2334
N2C3crim_WCS365neon_halfLacZ,A,12,16733,108805
N2C3crim_WCS365neon_halfLacZ,B,12,16656,143659
N2C3crim_WCS365neon_halfLacZ,C,12,13752,3630
N2C3crim_WCS365neon_halfLacZ,D,12,13759,1295
N2C3crim_WCS365neon_halfLacZ,E,12,15714,95193
N2C3crim_WCS365neon_halfLacZ,F,12,23351,144600
N2C3crim_WCS365neon_halfLacZ,G,12,13206,2854
N2C3crim_WCS365neon_halfLacZ,H,12,12652,2073
N2C3neon_WCS365crim_fullLacZ,A,1,42618,21561
N2C3neon_WCS365crim_fullLacZ,B,1,304607,63579
N2C3neon_WCS365crim_fullLacZ,C,1,22814,249451
N2C3neon_WCS365crim_fullLacZ,D,1,18302,164482
N2C3neon_WCS365crim_fullLacZ,E,1,110690,109145
N2C3neon_WCS365crim_fullLacZ,F,1,96632,110025
N2C3neon_WCS365crim_fullLacZ,G,1,21166,285024
N2C3neon_WCS365crim_fullLacZ,H,1,18799,225113
N2C3neon_WCS365crim_fullLacZ,A,2,553005,92020
N2C3neon_WCS365crim_fullLacZ,B,2,127768,94585
N2C3neon_WCS365crim_fullLacZ,C,2,28103,262313
N2C3neon_WCS365crim_fullLacZ,D,2,25886,192902
N2C3neon_WCS365crim_fullLacZ,E,2,143579,125861
N2C3neon_WCS365crim_fullLacZ,F,2,391448,155133
N2C3neon_WCS365crim_fullLacZ,G,2,26592,582128
N2C3neon_WCS365crim_fullLacZ,H,2,13858,95463
N2C3neon_WCS365crim_fullLacZ,A,3,147804,113803
N2C3neon_WCS365crim_fullLacZ,B,3,145965,146705
N2C3neon_WCS365crim_fullLacZ,C,3,36178,477915
N2C3neon_WCS365crim_fullLacZ,D,3,23515,290154
N2C3neon_WCS365crim_fullLacZ,E,3,328121,183513
N2C3neon_WCS365crim_fullLacZ,F,3,420016,602866
N2C3neon_WCS365crim_fullLacZ,G,3,43939,378310
N2C3neon_WCS365crim_fullLacZ,H,3,32580,301017
N2C3neon_WCS365crim_fullLacZ,A,4,772488,2857
N2C3neon_WCS365crim_fullLacZ,B,4,1068898,4168
N2C3neon_WCS365crim_fullLacZ,C,4,13705,2345
N2C3neon_WCS365crim_fullLacZ,D,4,17400,2085
N2C3neon_WCS365crim_fullLacZ,E,4,826348,4171
N2C3neon_WCS365crim_fullLacZ,F,4,705002,4954
N2C3neon_WCS365crim_fullLacZ,G,4,15877,3650
N2C3neon_WCS365crim_fullLacZ,H,4,13372,3129
N2C3neon_WCS365crim_fullLacZ,A,5,765215,3119
N2C3neon_WCS365crim_fullLacZ,B,5,314579,4950
N2C3neon_WCS365crim_fullLacZ,C,5,15375,4430
N2C3neon_WCS365crim_fullLacZ,D,5,17610,2606
N2C3neon_WCS365crim_fullLacZ,E,5,326835,2607
N2C3neon_WCS365crim_fullLacZ,F,5,262651,1825
N2C3neon_WCS365crim_fullLacZ,G,5,16501,3650
N2C3neon_WCS365crim_fullLacZ,H,5,13790,2608
N2C3neon_WCS365crim_fullLacZ,A,6,557442,2601
N2C3neon_WCS365crim_fullLacZ,B,6,358766,3386
N2C3neon_WCS365crim_fullLacZ,C,6,15443,3388
N2C3neon_WCS365crim_fullLacZ,D,6,21225,2606
N2C3neon_WCS365crim_fullLacZ,E,6,581280,1825
N2C3neon_WCS365crim_fullLacZ,F,6,647539,2086
N2C3neon_WCS365crim_fullLacZ,G,6,16434,4954
N2C3neon_WCS365crim_fullLacZ,H,6,17131,2086
N2C3neon_WCS365crim_fullLacZ,A,7,329275,239618
N2C3neon_WCS365crim_fullLacZ,B,7,198775,127392
N2C3neon_WCS365crim_fullLacZ,C,7,19758,172512
N2C3neon_WCS365crim_fullLacZ,D,7,25955,226752
N2C3neon_WCS365crim_fullLacZ,E,7,131337,146769
N2C3neon_WCS365crim_fullLacZ,F,7,95434,55792
N2C3neon_WCS365crim_fullLacZ,G,7,22695,354164
N2C3neon_WCS365crim_fullLacZ,H,7,17686,157770
N2C3neon_WCS365crim_fullLacZ,A,8,133557,120234
N2C3neon_WCS365crim_fullLacZ,B,8,140638,166726
N2C3neon_WCS365crim_fullLacZ,C,8,64085,761440
N2C3neon_WCS365crim_fullLacZ,D,8,40993,614420
N2C3neon_WCS365crim_fullLacZ,E,8,262343,193437
N2C3neon_WCS365crim_fullLacZ,F,8,276037,117320
N2C3neon_WCS365crim_fullLacZ,G,8,24647,353879
N2C3neon_WCS365crim_fullLacZ,H,8,23114,309851
N2C3neon_WCS365crim_fullLacZ,A,9,298673,307145
N2C3neon_WCS365crim_fullLacZ,B,9,156180,159908
N2C3neon_WCS365crim_fullLacZ,C,9,30951,301825
N2C3neon_WCS365crim_fullLacZ,D,9,35991,479783
N2C3neon_WCS365crim_fullLacZ,E,9,331219,216400
N2C3neon_WCS365crim_fullLacZ,F,9,293677,158237
N2C3neon_WCS365crim_fullLacZ,G,9,30008,428275
N2C3neon_WCS365crim_fullLacZ,H,9,19500,171043
N2C3neon_WCS365crim_fullLacZ,A,10,230790,1562
N2C3neon_WCS365crim_fullLacZ,B,10,618349,3906
N2C3neon_WCS365crim_fullLacZ,C,10,15098,4430
N2C3neon_WCS365crim_fullLacZ,D,10,27702,3909
N2C3neon_WCS365crim_fullLacZ,E,10,813137,4171
N2C3neon_WCS365crim_fullLacZ,F,10,922746,4692
N2C3neon_WCS365crim_fullLacZ,G,10,17684,2608
N2C3neon_WCS365crim_fullLacZ,H,10,14066,3389
N2C3neon_WCS365crim_fullLacZ,A,11,778411,2604
N2C3neon_WCS365crim_fullLacZ,B,11,584560,3645
N2C3neon_WCS365crim_fullLacZ,C,11,12661,2867
N2C3neon_WCS365crim_fullLacZ,D,11,16701,2865
N2C3neon_WCS365crim_fullLacZ,E,11,758347,3128
N2C3neon_WCS365crim_fullLacZ,F,11,831375,5212
N2C3neon_WCS365crim_fullLacZ,G,11,15320,2347
N2C3neon_WCS365crim_fullLacZ,H,11,13441,2606
N2C3neon_WCS365crim_fullLacZ,A,12,1760804,2083
N2C3neon_WCS365crim_fullLacZ,B,12,114448,3903
N2C3neon_WCS365crim_fullLacZ,C,12,12175,3909
N2C3neon_WCS365crim_fullLacZ,D,12,14337,2082
N2C3neon_WCS365crim_fullLacZ,E,12,130791,1564
N2C3neon_WCS365crim_fullLacZ,F,12,443881,4167
N2C3neon_WCS365crim_fullLacZ,G,12,14760,3651
N2C3neon_WCS365crim_fullLacZ,H,12,11910,3126
N2C3neon_WCS365crim_halfLacZ,A,1,136112,37363
N2C3neon_WCS365crim_halfLacZ,B,1,239113,129197
N2C3neon_WCS365crim_halfLacZ,C,1,17773,167799
N2C3neon_WCS365crim_halfLacZ,D,1,16810,135543
N2C3neon_WCS365crim_halfLacZ,E,1,244485,80274
N2C3neon_WCS365crim_halfLacZ,F,1,128484,89776
N2C3neon_WCS365crim_halfLacZ,G,1,15426,132619
N2C3neon_WCS365crim_halfLacZ,H,1,13342,70186
N2C3neon_WCS365crim_halfLacZ,A,2,229254,116517
N2C3neon_WCS365crim_halfLacZ,B,2,136984,134699
N2C3neon_WCS365crim_halfLacZ,C,2,29859,317701
N2C3neon_WCS365crim_halfLacZ,D,2,30980,380232
N2C3neon_WCS365crim_halfLacZ,E,2,270273,213996
