plate_alias,row,col,Neon-raw,Crim-raw,Neon-cfu,Crim-cfu
WCS365Crim-N2C3Neon-A,D,7,19922,132085,0,280
WCS365Crim-N2C3Neon-A,E,7,333528,2931,,
WCS365Crim-N2C3Neon-A,F,7,386603,7329,,
WCS365Crim-N2C3Neon-A,G,7,140810,137581,,
WCS365Crim-N2C3Neon-A,H,7,11945,118776,,
WCS365Crim-N2C3Neon-A,A,8,310668,2925,181.666666666667,0
WCS365Crim-N2C3Neon-A,B,8,485397,1952,506.666666666667,0
WCS365Crim-N2C3Neon-A,C,8,336140,54435,216.666666666667,73.3333333333333
WCS365Crim-N2C3Neon-A,D,8,24585,179454,0,203.333333333333
WCS365Crim-N2C3Neon-A,E,8,222702,2687,,
WCS365Crim-N2C3Neon-A,F,8,348407,3664,,
WCS365Crim-N2C3Neon-A,G,8,462255,50579,,
WCS365Crim-N2C3Neon-A,H,8,14489,104847,,
WCS365Crim-N2C3Neon-A,A,9,107197,116553,,
WCS365Crim-N2C3Neon-A,B,9,23304,227358,,
WCS365Crim-N2C3Neon-A,C,9,25213,270536,,
WCS365Crim-N2C3Neon-A,D,9,23456,243399,,
WCS365Crim-N2C3Neon-A,E,9,180631,129721,,
WCS365Crim-N2C3Neon-A,F,9,22692,215916,,
WCS365Crim-N2C3Neon-A,G,9,21133,279603,,
WCS365Crim-N2C3Neon-A,H,9,20997,378768,,
WCS365Crim-N2C3Neon-A,A,10,199100,7071,,
WCS365Crim-N2C3Neon-A,B,10,303920,104645,,
WCS365Crim-N2C3Neon-A,C,10,25214,191390,,
WCS365Crim-N2C3Neon-A,D,10,24518,293684,,
WCS365Crim-N2C3Neon-A,E,10,240292,5618,,
WCS365Crim-N2C3Neon-A,F,10,246460,63489,,
WCS365Crim-N2C3Neon-A,G,10,23673,139545,,
WCS365Crim-N2C3Neon-A,H,10,16183,207708,,
WCS365Crim-N2C3Neon-A,A,11,439109,3170,,
WCS365Crim-N2C3Neon-A,B,11,411573,3414,,
WCS365Crim-N2C3Neon-A,C,11,222867,98138,,
WCS365Crim-N2C3Neon-A,D,11,19712,160092,,
WCS365Crim-N2C3Neon-A,E,11,480799,3176,,
WCS365Crim-N2C3Neon-A,F,11,252721,6348,,
WCS365Crim-N2C3Neon-A,G,11,84328,62071,,
WCS365Crim-N2C3Neon-A,H,11,14984,97475,,
WCS365Crim-N2C3Neon-A,A,12,188399,1463,,
WCS365Crim-N2C3Neon-A,B,12,76530,2194,,
WCS365Crim-N2C3Neon-A,C,12,395122,19042,,
WCS365Crim-N2C3Neon-A,D,12,15186,81957,,
WCS365Crim-N2C3Neon-A,E,12,80081,2931,,
WCS365Crim-N2C3Neon-A,F,12,216530,3172,,
WCS365Crim-N2C3Neon-A,G,12,262083,46680,,
WCS365Crim-N2C3Neon-A,H,12,12013,37599,,
WCS365Crim-N2C3Neon-B,A,1,184453,141528,,
WCS365Crim-N2C3Neon-B,B,1,19799,132957,,
WCS365Crim-N2C3Neon-B,C,1,20913,141201,,
WCS365Crim-N2C3Neon-B,D,1,17993,243230,,
WCS365Crim-N2C3Neon-B,E,1,86378,98300,,
WCS365Crim-N2C3Neon-B,F,1,20154,140144,,
WCS365Crim-N2C3Neon-B,G,1,18973,209043,,
WCS365Crim-N2C3Neon-B,H,1,19114,221676,,
WCS365Crim-N2C3Neon-B,A,2,579629,6022,,
WCS365Crim-N2C3Neon-B,B,2,67827,116781,,
WCS365Crim-N2C3Neon-B,C,2,21270,166775,,
WCS365Crim-N2C3Neon-B,D,2,21481,210382,,
WCS365Crim-N2C3Neon-B,E,2,274345,7078,,
WCS365Crim-N2C3Neon-B,F,2,278266,191239,,
WCS365Crim-N2C3Neon-B,G,2,19186,172472,,
WCS365Crim-N2C3Neon-B,H,2,12908,94635,,
WCS365Crim-N2C3Neon-B,A,3,139265,2516,,
WCS365Crim-N2C3Neon-B,B,3,246816,8593,,
WCS365Crim-N2C3Neon-B,C,3,436383,99328,,
WCS365Crim-N2C3Neon-B,D,3,20019,156009,,
WCS365Crim-N2C3Neon-B,E,3,262498,4551,,
WCS365Crim-N2C3Neon-B,F,3,155877,8853,,
WCS365Crim-N2C3Neon-B,G,3,180787,132786,,
WCS365Crim-N2C3Neon-B,H,3,19810,197878,,
WCS365Crim-N2C3Neon-B,A,4,189043,3528,,
WCS365Crim-N2C3Neon-B,B,4,179217,2780,,
WCS365Crim-N2C3Neon-B,C,4,114226,49797,,
WCS365Crim-N2C3Neon-B,D,4,19177,166878,,
WCS365Crim-N2C3Neon-B,E,4,444371,3034,,
WCS365Crim-N2C3Neon-B,F,4,196211,5058,,
WCS365Crim-N2C3Neon-B,G,4,353830,57673,,
WCS365Crim-N2C3Neon-B,H,4,19953,173066,,
WCS365Crim-N2C3Neon-B,A,5,356497,115264,,
WCS365Crim-N2C3Neon-B,B,5,27616,343478,,
WCS365Crim-N2C3Neon-B,C,5,31243,391359,,
