plate_alias,row,col,,Abs600,Neon-raw,Neon-btm-raw,Crim-raw,Crim-btm-raw
PlateA_cropped,B,9,PlateA_croppedB9,0.1639,18289,4642,212849,101768
PlateA_cropped,C,9,PlateA_croppedC9,0.1327,24397,4235,221001,61045
PlateA_cropped,D,9,PlateA_croppedD9,0.1428,20402,5125,226560,75624
PlateA_cropped,E,9,PlateA_croppedE9,0.133,519090,103841,26041,6755
PlateA_cropped,F,9,PlateA_croppedF9,0.1509,23276,5331,206138,52680
PlateA_cropped,G,9,PlateA_croppedG9,0.1532,19879,4033,230072,69997
PlateA_cropped,H,9,PlateA_croppedH9,0.1021,20845,3965,147356,14867
PlateA_cropped,A,10,PlateA_croppedA10,0.1041,379782,76506,2147,1619
PlateA_cropped,B,10,PlateA_croppedB10,0.2301,76904,19795,255512,83139
PlateA_cropped,C,10,PlateA_croppedC10,0.1299,20816,3963,157318,52401
PlateA_cropped,D,10,PlateA_croppedD10,0.1348,20268,4715,201311,56177
PlateA_cropped,E,10,PlateA_croppedE10,0.1597,750709,238868,4295,540
PlateA_cropped,F,10,PlateA_croppedF10,0.2795,91678,51748,317520,206946
PlateA_cropped,G,10,PlateA_croppedG10,0.2276,13070,3418,74894,37838
PlateA_cropped,H,10,PlateA_croppedH10,0.1111,16373,2530,80783,25673
PlateA_cropped,A,11,PlateA_croppedA11,0.1165,430264,119927,2953,2159
PlateA_cropped,B,11,PlateA_croppedB11,0.1296,241775,66286,3488,540
PlateA_cropped,C,11,PlateA_croppedC11,0.1704,27156,6286,168866,51586
PlateA_cropped,D,11,PlateA_croppedD11,0.127,17440,3690,123175,47257
PlateA_cropped,E,11,PlateA_croppedE11,0.13,491472,104873,5369,811
PlateA_cropped,F,11,PlateA_croppedF11,0.3611,499625,396154,2147,540
PlateA_cropped,G,11,PlateA_croppedG11,0.1334,29241,7725,124552,49195
PlateA_cropped,H,11,PlateA_croppedH11,0.1222,15343,2872,64933,29184
PlateA_cropped,A,12,PlateA_croppedA12,0.1045,313735,77074,2952,810
PlateA_cropped,B,12,PlateA_croppedB12,0.0991,219417,51556,3754,1618
PlateA_cropped,C,12,PlateA_croppedC12,0.2793,885351,372978,2953,810
PlateA_cropped,D,12,PlateA_croppedD12,0.0827,12755,3076,3218,1079
PlateA_cropped,E,12,PlateA_croppedE12,0.1202,1335332,110536,3490,540
PlateA_cropped,F,12,PlateA_croppedF12,0.1115,184031,53878,4022,540
PlateA_cropped,G,12,PlateA_croppedG12,0.1464,391174,116035,4563,1892
PlateA_cropped,H,12,PlateA_croppedH12,0.0805,14038,2941,2413,540
PlateC_cropped,A,1,PlateC_croppedA1,0.2339,156218,163697,12974,9933
PlateC_cropped,B,1,PlateC_croppedB1,0.0896,218133,76942,2521,1634
PlateC_cropped,C,1,PlateC_croppedC1,0.0995,322311,168213,3078,1360
PlateC_cropped,D,1,PlateC_croppedD1,0.4948,622362,987566,1681,1907
PlateC_cropped,E,1,PlateC_croppedE1,0.0956,140115,53324,18198,6533
PlateC_cropped,F,1,PlateC_croppedF1,0.1433,344684,237960,2522,1635
PlateC_cropped,G,1,PlateC_croppedG1,0.123,291259,128962,2520,545
PlateC_cropped,H,1,PlateC_croppedH1,0.2741,623522,640328,1962,818
PlateC_cropped,A,2,PlateC_croppedA2,0.1249,15684,3615,115411,58671
PlateC_cropped,B,2,PlateC_croppedB2,0.0974,559380,105248,16245,3540
PlateC_cropped,C,2,PlateC_croppedC2,0.1145,349015,155427,2800,2451
PlateC_cropped,D,2,PlateC_croppedD2,0.1149,410568,149544,1961,1090
PlateC_cropped,E,2,PlateC_croppedE2,0.1288,21627,2935,165302,28601
PlateC_cropped,F,2,PlateC_croppedF2,0.0975,218727,60029,4484,1635
PlateC_cropped,G,2,PlateC_croppedG2,0.1036,228479,95549,2802,1090
PlateC_cropped,H,2,PlateC_croppedH2,0.0853,114294,27938,2523,1091
PlateC_cropped,A,3,PlateC_croppedA3,0.1169,15675,3067,113511,58018
PlateC_cropped,B,3,PlateC_croppedB3,0.1172,19252,4843,151513,31586
PlateC_cropped,C,3,PlateC_croppedC3,0.1111,445301,151861,7844,2996
PlateC_cropped,D,3,PlateC_croppedD3,0.1023,341590,100234,3082,1362
PlateC_cropped,E,3,PlateC_croppedE3,0.1208,20551,4231,173203,32977
PlateC_cropped,F,3,PlateC_croppedF3,0.1385,22786,4985,181580,45792
PlateC_cropped,G,3,PlateC_croppedG3,0.1051,251556,90209,5885,1635
PlateC_cropped,H,3,PlateC_croppedH3,0.0862,112409,27867,2523,545
PlateC_cropped,A,4,PlateC_croppedA4,0.1198,15807,3951,136855,32858
PlateC_cropped,B,4,PlateC_croppedB4,0.1234,21742,4910,201628,39490
PlateC_cropped,C,4,PlateC_croppedC4,0.18,19858,6274,66678,23701
PlateC_cropped,D,4,PlateC_croppedD4,0.0829,12397,2867,2801,817
PlateC_cropped,E,4,PlateC_croppedE4,0.1344,30318,4300,280815,38973
PlateC_cropped,F,4,PlateC_croppedF4,0.1126,19682,3278,113490,21803
PlateC_cropped,G,4,PlateC_croppedG4,0.0996,16917,3414,92507,14172
PlateC_cropped,H,4,PlateC_croppedH4,0.0831,12947,3278,5325,1090
