plate,row,col,od_after
N2C3_WCS365_5day001_b,H,8,0.1828
N2C3_WCS365_5day001_b,A,9,0.1697
N2C3_WCS365_5day001_b,B,9,0.143
N2C3_WCS365_5day001_b,C,9,0.1667
N2C3_WCS365_5day001_b,D,9,0.1736
N2C3_WCS365_5day001_b,E,9,0.2558
N2C3_WCS365_5day001_b,F,9,0.1723
N2C3_WCS365_5day001_b,G,9,0.1362
N2C3_WCS365_5day001_b,H,9,0.1498
N2C3_WCS365_5day001_b,A,10,0.1342
N2C3_WCS365_5day001_b,B,10,0.154
N2C3_WCS365_5day001_b,C,10,0.1768
N2C3_WCS365_5day001_b,D,10,0.145
N2C3_WCS365_5day001_b,E,10,0.2942
N2C3_WCS365_5day001_b,F,10,0.1629
N2C3_WCS365_5day001_b,G,10,0.144
N2C3_WCS365_5day001_b,H,10,0.163
N2C3_WCS365_5day001_b,A,11,0.1318
N2C3_WCS365_5day001_b,B,11,0.1287
N2C3_WCS365_5day001_b,C,11,0.1666
N2C3_WCS365_5day001_b,D,11,0.1341
N2C3_WCS365_5day001_b,E,11,0.2705
N2C3_WCS365_5day001_b,F,11,0.2028
N2C3_WCS365_5day001_b,G,11,0.2147
N2C3_WCS365_5day001_b,H,11,0.183
N2C3_WCS365_5day001_b,A,12,0.0871
N2C3_WCS365_5day001_b,B,12,0.0883
N2C3_WCS365_5day001_b,C,12,0.0862
N2C3_WCS365_5day001_b,D,12,0.0859
N2C3_WCS365_5day001_b,E,12,0.0896
N2C3_WCS365_5day001_b,F,12,0.091
N2C3_WCS365_5day001_b,G,12,0.0867
N2C3_WCS365_5day001_b,H,12,0.0888
N2C3_WCS365_6day002_cropped,A,1,0.1302
N2C3_WCS365_6day002_cropped,B,1,0.2496
N2C3_WCS365_6day002_cropped,C,1,0.1836
N2C3_WCS365_6day002_cropped,D,1,0.2303
N2C3_WCS365_6day002_cropped,E,1,0.1831
N2C3_WCS365_6day002_cropped,F,1,0.1672
N2C3_WCS365_6day002_cropped,G,1,0.1992
