experiment	transfer_h	strain1	strain2	strain2_od	WN_FC_fluor_offset	Healthiness_hsv	strain1_meanCount	strain1_sd	Alive	batchtest	strain2_meanCount	strain2_sd	ratioCFU_S12	S12_FC_inocCFU	WN_FC_inocCFU	Treatment	rep_on	treatment
2023-12-06	0	N2C3	WCS365	0.001	0.183964960917218	445.734747691047	586666.666666667	248008.736405259	1	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	3.99706901042412	358.150974155296	586666.666666667	248008.736405259	0	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	4.9376947707709	470.799752640742	586666.666666667	248008.736405259	1	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	3.99345635310355	459.886675035193	586666.666666667	248008.736405259	1	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	4.1913468233883	447.603009604964	586666.666666667	248008.736405259	1	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	4.46958164842204	398.56677369622	586666.666666667	248008.736405259	0	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	3.72533941340066	147.942394173002	586666.666666667	248008.736405259	0	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	2.33447070569386	371.905968032966	586666.666666667	248008.736405259	0	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	0.263061156965001	442.656480786101	586666.666666667	248008.736405259	1	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	5.88342224509305	452.316863318595	586666.666666667	248008.736405259	1	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	3.38303740422131	203.460983208884	586666.666666667	248008.736405259	0	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
2023-12-06	0	N2C3	WCS365	0.001	0.720665456766049	432.297817163493	586666.666666667	248008.736405259	1	A	265833.333333333	22898.3259941275	2.20689655172414	1.14201900487243	-1.14201900487243	Simultaneous inoculation	NA	NA
