person,set,rank,id,healthy
SS,10,6,6071,F
SS,10,7,363,F
SS,10,8,1356,T
SS,10,9,4505,T
SS,10,10,5324,T
SH,1,1,939,F
SH,1,2,7713,F
SH,1,3,1295,F
SH,1,4,2641,T
SH,1,5,1275,T
SH,1,6,81,T
SH,1,7,2603,T
SH,1,8,3344,T
SH,1,9,1361,T
SH,1,10,,
SH,2,1,7596,F
SH,2,2,7045,F
SH,2,3,60,F
SH,2,4,3208,F
SH,2,5,1639,F
SH,2,6,7619,F
SH,2,7,7396,F
SH,2,8,4277,T
SH,2,9,2603,T
SH,2,10,6588,T
SH,3,1,7713,F
SH,3,2,6719,F
SH,3,3,1571,F
SH,3,4,911,T
SH,3,5,6255,T
SH,3,6,2603,T
SH,3,7,1951,T
SH,3,8,6034,T
SH,3,9,1149,T
SH,3,10,6797,T
SH,4,1,465,F
SH,4,2,6470,F
SH,4,3,366,F
SH,4,4,4512,F
SH,4,5,3443,T
SH,4,6,2069,T
SH,4,7,5158,T
SH,4,8,5033,T
SH,4,9,2603,T
SH,4,10,3419,T
SH,5,1,4766,F
SH,5,2,3256,F
SH,5,3,5942,F
SH,5,4,4337,T
SH,5,5,5158,T
SH,5,6,2395,T
SH,5,7,6782,T
SH,5,8,4735,T
SH,5,9,1439,T
SH,5,10,2603,T
SH,6,1,7713,F
SH,6,2,6750,F
SH,6,3,2376,F
SH,6,4,618,F
SH,6,5,1560,F
SH,6,6,7085,F
SH,6,7,1529,T
SH,6,8,2603,T
SH,6,9,1000,T
SH,6,10,3849,T
SH,7,1,1321,F
SH,7,2,6879,F
SH,7,3,6598,F
SH,7,4,60,F
SH,7,5,1922,F
SH,7,6,1907,F
SH,7,7,4167,T
SH,7,8,2603,T
SH,7,9,5344,T
SH,7,10,3082,T
SH,8,1,7713,T
SH,8,2,3150,T
SH,8,3,6496,T
SH,8,4,944,T
SH,8,5,4095,F
SH,8,6,5158,F
SH,8,7,1816,F
SH,8,8,3749,F
SH,8,9,6724,F
SH,8,10,7293,F
SH,9,1,11,F
SH,9,2,270,F
SH,9,3,7713,F
SH,9,4,7647,F
SH,9,5,1940,F
SH,9,6,4000,F
SH,9,7,1693,T
SH,9,8,5158,T
SH,9,9,2121,T
