plate,experiment,well,row,col,abs600nm,neon_top,crim_top,readtime
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,G8,G,8,0.1065,40555,120480,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,G9,G,9,0.0995,53087,132922,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,G10,G,10,0.1081,76120,159745,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,G11,G,11,0.0991,53359,133748,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,G12,G,12,0.1307,94555,167476,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,H1,H,1,0.071,85542,2211,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,H2,H,2,0.1458,229634,829,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,H3,H,3,0.1821,314222,1382,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,H4,H,4,0.1786,589248,3317,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,H5,H,5,0.138,343749,2211,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,H6,H,6,0.1787,589439,2488,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,H7,H,7,0.3653,51148,306824,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,H8,H,8,0.1737,30725,394502,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,H9,H,9,0.2044,27959,362652,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,H10,H,10,0.4899,220832,429555,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,H11,H,11,0.47,65208,281289,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,H12,H,12,0.0961,31770,80912,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,A1,A,1,0.0818,89057,2412,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,A2,A,2,0.0801,115301,2429,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,A3,A,3,0.0834,229136,5954,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,A4,A,4,0.1041,198124,7588,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,A5,A,5,0.0865,118192,4611,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,A6,A,6,0.0946,491679,31749,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,A7,A,7,0.1134,16091,103417,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,A8,A,8,0.1104,15033,93131,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,A9,A,9,0.1133,19179,124652,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,A10,A,10,0.0896,16785,82295,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,A11,A,11,0.0901,17206,138530,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,A12,A,12,0.1656,15728,44277,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,B1,B,1,0.096,121405,136389,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,B2,B,2,0.0878,92794,45100,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,B3,B,3,0.1007,163897,61944,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,B4,B,4,0.1075,179423,61121,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,B5,B,5,0.0889,79999,37761,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,B6,B,6,0.106,122367,162749,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,B7,B,7,0.1123,24418,221697,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,B8,B,8,0.1051,31020,284736,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,B9,B,9,0.0997,25826,216519,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,B10,B,10,0.1287,32221,397714,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,B11,B,11,0.1339,25415,157247,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,B12,B,12,0.1191,14817,58345,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,C1,C,1,0.0938,50232,110993,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,C2,C,2,0.0961,67765,138480,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,C3,C,3,0.0979,59196,123583,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,C4,C,4,0.1101,51401,143708,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,C5,C,5,0.1142,95168,133106,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,C6,C,6,0.1033,49786,137453,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,C7,C,7,0.1113,29307,243400,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,C8,C,8,0.1032,28109,275206,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,C9,C,9,0.1039,27547,245880,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,C10,C,10,0.1078,32168,289057,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,C11,C,11,0.1132,30137,331699,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,C12,C,12,0.1044,18081,171946,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,D1,D,1,0.1074,47554,302906,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,D2,D,2,0.1462,397503,294470,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,D3,D,3,0.1144,71861,222475,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,D4,D,4,0.1367,80148,214602,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,D5,D,5,0.1264,70347,229533,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,D6,D,6,0.2103,42381,414328,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,D7,D,7,0.1783,29494,429797,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,D8,D,8,0.1709,37768,536034,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,D9,D,9,0.1737,36581,505563,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,D10,D,10,0.1151,28662,237146,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,D11,D,11,0.1284,28665,339489,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,D12,D,12,0.2502,22431,399554,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,E1,E,1,0.0756,13245,1357,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,E2,E,2,0.0748,14080,2986,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,E3,E,3,0.0735,16393,815,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,E4,E,4,0.0748,14494,2172,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,E5,E,5,0.0729,15758,1629,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,E6,E,6,0.076,17714,1086,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,E7,E,7,0.0927,321017,9505,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,E8,E,8,0.0919,420114,7876,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,E9,E,9,0.0987,537747,9505,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,E10,E,10,0.0946,246146,3802,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,E11,E,11,0.0989,317042,6789,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,E12,E,12,0.113,259355,3802,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,F1,F,1,0.0763,14826,2987,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,F2,F,2,0.0758,15739,2716,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,F3,F,3,0.0756,16440,2173,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,F4,F,4,0.0756,17002,2716,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,F5,F,5,0.0786,14974,1901,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,F6,F,6,0.0749,15811,2173,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,F7,F,7,0.085,299008,33680,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,F8,F,8,0.0905,234374,59756,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,F9,F,9,0.1001,127676,61381,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,F10,F,10,0.0928,222303,73870,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,F11,F,11,0.0955,153726,69508,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,F12,F,12,0.0918,45776,58609,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,G1,G,1,0.1016,169216,1628,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,G2,G,2,0.0822,268681,2986,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,G3,G,3,0.0978,734271,3801,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,G4,G,4,0.0847,547841,3530,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,G5,G,5,0.083,384036,1901,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,G6,G,6,0.1098,1386422,3530,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,G7,G,7,0.0975,77641,129797,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,G8,G,8,0.1051,394716,171909,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,G9,G,9,0.105,83298,164033,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,G10,G,10,0.1005,81246,129275,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,G11,G,11,0.1216,102307,194724,7
