experiment,plate,well,row,col,neon_top,crim_top,neon_btm,crim_btm,abs600,readtime
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,A2,A,2,170409,2683,13122,531,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,A3,A,3,175753,5920,14553,2132,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,A4,A,4,182609,2156,16950,1068,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,A5,A,5,184986,4046,16674,1336,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,A6,A,6,170557,5667,16674,802,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,A7,A,7,187352,3779,16675,802,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,A8,A,8,186032,4051,15441,802,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,A9,A,9,189031,4051,15715,1337,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,A10,A,10,185524,3242,16608,535,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,A11,A,11,180337,2432,17569,1070,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,A12,A,12,185921,3513,15786,1605,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,B1,B,1,199914,4325,16211,803,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,B2,B,2,192866,3784,17095,535,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,B3,B,3,214136,6216,18399,1338,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,B4,B,4,212630,5135,15378,1071,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,B5,B,5,197544,4864,17781,1606,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,B6,B,6,196921,4324,17028,1874,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,B7,B,7,192673,3783,16611,1338,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,B8,B,8,191198,4323,16615,1606,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,B9,B,9,200280,3242,15650,0,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,B10,B,10,185065,2161,16542,535,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,B11,B,11,185990,5401,16819,535,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,B12,B,12,185197,5398,15790,1337,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,C1,C,1,202749,5940,16827,1070,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,C2,C,2,201220,4863,17035,1071,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,C3,C,3,216064,3244,16137,1339,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,C4,C,4,200779,4595,17032,1607,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,C5,C,5,212892,5678,17517,268,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,C6,C,6,199301,5136,19024,1339,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,C7,C,7,193564,3785,18061,536,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,C8,C,8,196352,5137,16759,536,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,C9,C,9,204185,3245,15933,1339,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,C10,C,10,196478,7030,15933,803,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,C11,C,11,192509,2974,17788,804,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,C12,C,12,200389,4055,17309,268,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,D1,D,1,201793,6490,15530,1875,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,D2,D,2,218195,6220,18410,1339,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,D3,D,3,210516,4597,18617,536,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,D4,D,4,219782,4056,17172,1071,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,D5,D,5,211732,4326,17516,0,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,D6,D,6,223937,4867,16963,1875,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,D7,D,7,220732,4597,15457,1607,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,D8,D,8,213239,3515,15733,1339,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,D9,D,9,206227,4596,15729,2143,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,D10,D,10,193367,2703,16828,536,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,D11,D,11,198373,5135,17310,1071,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,D12,D,12,190144,4051,17247,1337,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,E1,E,1,27827,3782,3987,535,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,E2,E,2,32373,2703,4329,803,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,E3,E,3,30108,6219,5221,1072,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,E4,E,4,30985,3245,4879,2143,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,E5,E,5,29753,3516,4054,804,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,E6,E,6,29544,3246,3779,2679,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,E7,E,7,207799,5139,18962,1875,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,E8,E,8,186240,4328,16282,1340,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,E9,E,9,198906,2164,17248,2411,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,E10,E,10,185118,3516,16353,1607,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,E11,E,11,167653,4869,16077,1608,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,E12,E,12,193874,2705,14152,1340,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,F1,F,1,31343,4328,4260,536,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,F2,F,2,30243,5410,4397,2411,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,F3,F,3,29415,3787,3779,1072,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,F4,F,4,31621,5409,5153,1340,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,F5,F,5,31898,1623,4671,1339,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,F6,F,6,31202,4328,4809,1072,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,F7,F,7,206653,6221,17309,1607,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,F8,F,8,222796,5680,17586,1608,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,F9,F,9,220352,4327,17931,804,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,F10,F,10,220020,4326,18000,1607,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,F11,F,11,218438,5407,15872,1875,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,F12,F,12,195238,2432,16839,1873,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,G1,G,1,28864,3513,4192,1873,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,G2,G,2,32514,4596,3986,804,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,G3,G,3,30381,4598,3916,1340,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,G4,G,4,29965,4328,4535,536,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,G5,G,5,30440,3246,4673,1608,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,G6,G,6,26879,4599,5428,268,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,G7,G,7,199811,5410,17385,1876,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,G8,G,8,219814,5410,17798,1072,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,G9,G,9,220232,3788,16834,1340,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,G10,G,10,222890,2706,17866,804,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,G11,G,11,202837,4599,17728,1072,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,G12,G,12,192366,3788,17935,1608,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,H1,H,1,27010,6224,5360,2412,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,H2,H,2,28321,4330,5428,804,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,H3,H,3,30309,4330,4398,1608,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,H4,H,4,32306,2706,4604,1608,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,H5,H,5,28529,4600,4809,1340,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,H6,H,6,30860,4059,4260,1340,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,H7,H,7,209084,4599,15871,1608,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,H8,H,8,213824,5952,14842,1340,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,H9,H,9,200052,3246,17179,1072,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,H10,H,10,211991,4598,14566,1072,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,H11,H,11,215006,4868,18005,536,NA,0
2023-12_priorityeffects,wcs-source-plateB-T2_cropped,H12,H,12,215805,6215,16911,0,NA,0
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,A1,A,1,409508,5145,154239,2179,0.1176,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,A2,A,2,441433,4441,125922,2193,0.0955,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,A3,A,3,316324,4453,635531,3177,0.2057,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,A4,A,4,453417,5947,100334,1958,0.098,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,A5,A,5,352775,4960,574932,3430,0.1932,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,A6,A,6,359571,6451,77468,1715,0.0966,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,A7,A,7,219716,5460,50080,1961,0.1058,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,A8,A,8,103204,5710,15865,1471,0.0941,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,A9,A,9,175388,6208,37525,1472,0.1046,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,A10,A,10,98739,2732,26074,2453,0.0956,7
