date_processed	plate	treatment	weight_mg	strains	strain1	strain2	delay	position	od1	od2	volume1	volume2	test	date_inoc	date_transplanted	date_sow	blue_plant	white_plant	Number_of_plants_pooled	dilution_plant	dotplate	row	col	ratio1	ratio2	ratio	dilution_dot	white_dot	blue_dot	date_process_dot
2022-04-19	P6	WL+N	10.8	WL+N	WL	N	-	c	0.001	0.001	3	3	delay	2022-04-12	2022-04-11	2022-04-04	364	29	3	6	WL+N_1:1	e	5	1	1	1:1	4	307	273	2022-04-20
2022-04-19	P6	WL+N	10	WL+N	WL	N	-	c	0.001	0.001	3	3	delay	2022-04-12	2022-04-11	2022-04-04	364	29	3	6	WL+N_1:1	d	4	1	1	1:1	4	270	190	2022-04-20
2022-04-19	P6	WL+N	10	WL+N	WL	N	-	c	0.001	0.001	3	3	delay	2022-04-12	2022-04-11	2022-04-04	364	29	3	6	WL+N_1:1	b	3	1	1	1:1	4	295	163	2022-04-20
2022-04-19	P6	WL+N	10	WL+N	WL	N	-	c	0.001	0.001	3	3	delay	2022-04-12	2022-04-11	2022-04-04	364	29	3	6	WL+N_1:1	e	6	1	1	1:1	5	363	148	2022-04-20
2022-04-19	P6	WL+N	10	WL+N	WL	N	-	c	0.001	0.001	3	3	delay	2022-04-12	2022-04-11	2022-04-04	364	29	3	6	WL+N_1:1	e	5	1	1	1:1	4	307	273	2022-04-20
2022-04-19	P6	WL+N	8	WL+N	WL	N	-	c	0.001	0.001	3	3	delay	2022-04-12	2022-04-11	2022-04-04	364	29	3	6	WL+N_1:1	d	4	1	1	1:1	4	270	190	2022-04-20
2022-04-19	P6	WL+N	8	WL+N	WL	N	-	c	0.001	0.001	3	3	delay	2022-04-12	2022-04-11	2022-04-04	364	29	3	6	WL+N_1:1	b	3	1	1	1:1	4	295	163	2022-04-20
2022-04-19	P6	WL+N	8	WL+N	WL	N	-	c	0.001	0.001	3	3	delay	2022-04-12	2022-04-11	2022-04-04	364	29	3	6	WL+N_1:1	e	6	1	1	1:1	5	363	148	2022-04-20
2022-04-19	P6	WL+N	8	WL+N	WL	N	-	c	0.001	0.001	3	3	delay	2022-04-12	2022-04-11	2022-04-04	364	29	3	6	WL+N_1:1	e	5	1	1	1:1	4	307	273	2022-04-20
2022-04-19	P7	WL++0	18.6	WL+mock	WL	mock	++	a	5e-04	0	6	6	delay	2022-04-12	2022-04-11	2022-04-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-04-19	P7	WL++0	22.6	WL+mock	WL	mock	++	a	5e-04	0	6	6	delay	2022-04-12	2022-04-11	2022-04-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-04-19	P7	WL++0	24	WL+mock	WL	mock	++	a	5e-04	0	6	6	delay	2022-04-12	2022-04-11	2022-04-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-04-19	P7	WL++0	17.4	WL+mock	WL	mock	++	a	5e-04	0	6	6	delay	2022-04-12	2022-04-11	2022-04-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-04-19	P7	WL++N	16.6	WL+N	WL	N	++	b	5e-04	5e-04	6	6	delay	2022-04-12	2022-04-11	2022-04-04	554	5	3	6	WL+N_1:1	d	4	1	1	1:1	4	270	190	2022-04-20
